chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
2,0,15788840,13205350,0,0,0,0,1853200,0
2,1,8694750,3027940,0,0,0,0,5588320,0
2,2,8014950,2544290,0,0,0,0,5394420,0
2,3,8036990,2603810,0,0,0,0,5353670,0
2,4,7996500,2577010,0,0,0,0,5345480,0
2,5,7975120,2556730,0,0,0,0,5341020,0
2,6,8208940,2674130,0,0,0,0,5449090,0
2,7,8006210,2578550,0,0,0,0,5349380,0
2,8,8074120,2606870,0,0,0,0,5386270,0
2,9,6569010,2563580,0,0,0,0,3905280,0
2,10,9650760,3992260,0,0,0,0,5577820,0
2,11,7965920,2571330,0,0,0,0,5315860,0
2,12,7949170,2543710,0,0,0,0,5329020,0
2,13,7939420,2540190,0,0,0,0,5317820,0
2,14,8020350,2541140,0,0,0,0,5397750,0
2,15,7954790,2546940,0,0,0,0,5334840,0
2,16,8705610,3086620,0,0,0,0,5538590,0
2,17,8082750,2689140,0,0,0,0,5314940,0
2,18,8818010,3056150,0,0,0,0,5512390,0
2,19,8097180,2594830,0,0,0,0,5423660,0
2,20,8066110,2556980,0,0,0,0,5432800,0
2,21,7945030,2563190,0,0,0,0,5303500,0
2,22,8017990,2549240,0,0,0,0,5392460,0
2,23,7967820,2547610,0,0,0,0,5341990,0
2,24,7970400,2591640,0,0,0,0,5302630,0
2,25,7981750,2556960,0,0,0,0,5347190,0
2,26,8058550,2562900,0,0,0,0,5417520,0
2,27,7956200,2563770,0,0,0,0,5315100,0
2,28,7978780,2547070,0,0,0,0,5349290,0
2,29,7968010,2577810,0,0,0,0,5312070,0
2,30,7978710,2562210,0,0,0,0,5333640,0
2,31,8062600,2628730,0,0,0,0,5351600,0
2,32,8231630,2679940,0,0,0,0,5468640,0
2,33,8093390,2584430,0,0,0,0,5427480,0
2,34,7938340,2549520,0,0,0,0,5310050,0
2,35,7950720,2536010,0,0,0,0,5339640,0
2,36,8140770,2621590,0,0,0,0,5437600,0
2,37,7958470,2523990,0,0,0,0,5352780,0
2,38,7893110,2518010,0,0,0,0,5300650,0
2,39,7968670,2543600,0,0,0,0,5347510,0
2,40,7992710,2568960,0,0,0,0,5347880,0
2,41,7953870,2545450,0,0,0,0,5328240,0
2,42,7963270,2542150,0,0,0,0,5341370,0
2,43,7963540,2548860,0,0,0,0,5339540,0
2,44,8005760,2578620,0,0,0,0,5350190,0
2,45,8008420,2568710,0,0,0,0,5358580,0
2,46,8123390,2617620,0,0,0,0,5424330,0
2,47,7965840,2549830,0,0,0,0,5340760,0
2,48,8105880,2618620,0,0,0,0,5407780,0
2,49,8017040,2564060,0,0,0,0,5373170,0
2,50,8102990,2599570,0,0,0,0,5425420,0
2,51,8112860,2608250,0,0,0,0,5427780,0
2,52,8081090,2597170,0,0,0,0,5403850,0
2,53,8039620,2583440,0,0,0,0,5377900,0
2,54,8157770,2609770,0,0,0,0,5469520,0
2,55,7982980,2587310,0,0,0,0,5319110,0
2,56,8225840,2640030,0,0,0,0,5504140,0
2,57,8051800,2589110,0,0,0,0,5381700,0
2,58,8028390,2581980,0,0,0,0,5367390,0
2,59,8078340,2605890,0,0,0,0,5391920,0
2,60,8029050,2589820,0,0,0,0,5362440,0
2,61,9507170,3971790,0,0,0,0,5458990,0
2,62,8102950,2593740,0,0,0,0,5430160,0
2,63,8074080,2584730,0,0,0,0,5407330,0
2,64,8007260,2582470,0,0,0,0,5346000,0
2,65,7980840,2549080,0,0,0,0,5357700,0
2,66,8006110,2555110,0,0,0,0,5376630,0
2,67,8424420,2743220,0,0,0,0,5597270,0
2,68,8237500,2680810,0,0,0,0,5478310,0
2,69,8150640,2582450,0,0,0,0,5486360,0
2,70,8178480,2586420,0,0,0,0,5515160,0
2,71,8049100,2582450,0,0,0,0,5389960,0
2,72,8185180,2688470,0,0,0,0,5415130,0
2,73,8030580,2566450,0,0,0,0,5384020,0
2,74,8023190,2567600,0,0,0,0,5376890,0
2,75,8205480,2717680,0,0,0,0,5409960,0
2,76,8031280,2581560,0,0,0,0,5373180,0
2,77,8058600,2594040,0,0,0,0,5386170,0
2,78,8070220,2558890,0,0,0,0,5433470,0
2,79,8118580,2609240,0,0,0,0,5430690,0
2,80,8035080,2591340,0,0,0,0,5366670,0
2,81,7985700,2558360,0,0,0,0,5352670,0
2,82,8093060,2566350,0,0,0,0,5449490,0
2,83,8050310,2578520,0,0,0,0,5388180,0
2,84,8112400,2622250,0,0,0,0,5409720,0
2,85,8022460,2551060,0,0,0,0,5394470,0
2,86,8022150,2546810,0,0,0,0,5395860,0
2,87,8178840,2635250,0,0,0,0,5459020,0
2,88,7969780,2537040,0,0,0,0,5353520,0
2,89,7993880,2564160,0,0,0,0,5352980,0
2,90,8029880,2584490,0,0,0,0,5367160,0
2,91,7957110,2543920,0,0,0,0,5337780,0
2,92,8056700,2595510,0,0,0,0,5381750,0
2,93,8009370,2558870,0,0,0,0,5370620,0
2,94,8051050,2555850,0,0,0,0,5417480,0
2,95,8038770,2571040,0,0,0,0,5389260,0
2,96,7990160,2549590,0,0,0,0,5363930,0
2,97,8016930,2593660,0,0,0,0,5344940,0
2,98,8095530,2598240,0,0,0,0,5419690,0
2,99,8007060,2566210,0,0,0,0,5362300,0
2,100,8166680,2579360,0,0,0,0,5508580,0
2,101,8010400,2593870,0,0,0,0,5338540,0
2,102,8070620,2579600,0,0,0,0,5412980,0
2,103,7965240,2543220,0,0,0,0,5344850,0
2,104,8105600,2611770,0,0,0,0,5416510,0
2,105,8035390,2582270,0,0,0,0,5373300,0
2,106,8017390,2570730,0,0,0,0,5369190,0
2,107,7972940,2564810,0,0,0,0,5329000,0
2,108,8062770,2572630,0,0,0,0,5410630,0
2,109,8021630,2593110,0,0,0,0,5349260,0
2,110,8092240,2588160,0,0,0,0,5425150,0
2,111,8032980,2578760,0,0,0,0,5376500,0
2,112,9616010,3975030,0,0,0,0,5562540,0
2,113,8023230,2574440,0,0,0,0,5368630,0
2,114,8024990,2576350,0,0,0,0,5371500,0
2,115,7955710,2568500,0,0,0,0,5308540,0
2,116,7892590,2555150,0,0,0,0,5264170,0
2,117,8016020,2564030,0,0,0,0,5376400,0
2,118,8125280,2628220,0,0,0,0,5418220,0
2,119,8066150,2547740,0,0,0,0,5439880,0
2,120,8307260,2691930,0,0,0,0,5536100,0
2,121,8068440,2556510,0,0,0,0,5436230,0
2,122,8101340,2586560,0,0,0,0,5436950,0
2,123,8063330,2587950,0,0,0,0,5395390,0
2,124,8030180,2595240,0,0,0,0,5358000,0
2,125,8100580,2597880,0,0,0,0,5424520,0
2,126,8184370,2626870,0,0,0,0,5479740,0
2,127,7807940,2617580,0,0,0,0,5109580,0
2,128,8118470,2613170,0,0,0,0,5425050,0
2,129,8240810,2633690,0,0,0,0,5529290,0
2,130,8163410,2622770,0,0,0,0,5458190,0
2,131,8047000,2588800,0,0,0,0,5380060,0
2,132,10046130,4032210,0,0,0,0,5901330,0
2,133,8169790,2614670,0,0,0,0,5474490,0
2,134,8093850,2594890,0,0,0,0,5421950,0
2,135,8101110,2594940,0,0,0,0,5428330,0
2,136,8021000,2581910,0,0,0,0,5363370,0
2,137,8073860,2586230,0,0,0,0,5410030,0
2,138,11756580,4611250,0,0,0,0,7007430,0
2,139,8205260,2652330,0,0,0,0,5474550,0
2,140,8224060,2641680,0,0,0,0,5505440,0
2,141,6228150,2473030,0,0,0,0,3491230,0
2,142,6238890,2405720,0,0,0,0,3592720,0
2,143,8064750,2608630,0,0,0,0,5374670,0
2,144,7998880,2577720,0,0,0,0,5346190,0
2,145,7970570,2549060,0,0,0,0,5346250,0
2,146,7994510,2553570,0,0,0,0,5364530,0
2,147,8103130,2635200,0,0,0,0,5386760,0
2,148,8153000,2616680,0,0,0,0,5452790,0
2,149,7991620,2544510,0,0,0,0,5371830,0
2,150,6560260,2469640,0,0,0,0,4012400,0
2,151,8586570,2877730,0,0,0,0,5629270,0
2,152,7954910,2558030,0,0,0,0,5321740,0
2,153,7995710,2555060,0,0,0,0,5361760,0
2,154,13574520,4519630,0,0,0,0,8927140,0
2,155,8056350,2607820,0,0,0,0,5372280,0
2,156,7981410,2574790,0,0,0,0,5324210,0
2,157,7993530,2564070,0,0,0,0,5347500,0
2,158,8026210,2579720,0,0,0,0,5363290,0
2,159,8568740,2580680,0,0,0,0,5908650,0
2,160,8023970,2593060,0,0,0,0,5352350,0
2,161,8023070,2576350,0,0,0,0,5365820,0
2,162,8005340,2569560,0,0,0,0,5358280,0
2,163,9710780,3941390,0,0,0,0,5691560,0
2,164,8023430,2581160,0,0,0,0,5361450,0
2,165,7996460,2559060,0,0,0,0,5353650,0
2,166,5703280,2551260,0,0,0,0,3060010,0
2,167,7964030,2567290,0,0,0,0,5319620,0
2,168,8217890,2722010,0,0,0,0,5411900,0
2,169,8101140,2641880,0,0,0,0,5373460,0
2,170,8116590,2543450,0,0,0,0,5492970,0
2,171,6848840,2561730,0,0,0,0,4204590,0
2,172,12820000,4468850,0,0,0,0,8225260,0
2,173,8233940,2645180,0,0,0,0,5503550,0
2,174,8150070,2614110,0,0,0,0,5456550,0
2,175,8101120,2585260,0,0,0,0,5436540,0
2,176,8341580,2792960,0,0,0,0,5472020,0
2,177,8054620,2604740,0,0,0,0,5373530,0
2,178,8016760,2574440,0,0,0,0,5362360,0
2,179,9908390,3965910,0,0,0,0,5812830,0
2,180,7994450,2563170,0,0,0,0,5352790,0
2,181,8049570,2588440,0,0,0,0,5382710,0
2,182,8138740,2621810,0,0,0,0,5439310,0
2,183,8256730,2571800,0,0,0,0,5603200,0
2,184,8031400,2585730,0,0,0,0,5358130,0
2,185,7939260,2535140,0,0,0,0,5317190,0
2,186,8045390,2569250,0,0,0,0,5388870,0
2,187,8009600,2585370,0,0,0,0,5342240,0
2,188,7946290,2561100,0,0,0,0,5297330,0
2,189,8076890,2596450,0,0,0,0,5400200,0
2,190,7997150,2571900,0,0,0,0,5339070,0
2,191,7997820,2591130,0,0,0,0,5318830,0
2,192,8007450,2556270,0,0,0,0,5364450,0
2,193,7993710,2595980,0,0,0,0,5310330,0
2,194,8042450,2588990,0,0,0,0,5350160,0
2,195,8052520,2582340,0,0,0,0,5380090,0
2,196,8019590,2598280,0,0,0,0,5337220,0
2,197,7978510,2559700,0,0,0,0,5327860,0
2,198,8197270,2614540,0,0,0,0,5504030,0
2,199,7992530,2546530,0,0,0,0,5352430,0
2,200,7952040,2564590,0,0,0,0,5307600,0
2,201,8018400,2594200,0,0,0,0,5340610,0
2,202,8004490,2570190,0,0,0,0,5345040,0
2,203,5377160,2553680,0,0,0,0,2737590,0
2,204,6165610,2610430,0,0,0,0,3466620,0
2,205,8006160,2563180,0,0,0,0,5354160,0
2,206,8004510,2585330,0,0,0,0,5330200,0
2,207,8136000,2602020,0,0,0,0,5443400,0
2,208,8102720,2605470,0,0,0,0,5407170,0
2,209,7943650,2522300,0,0,0,0,5334080,0
2,210,7904380,2538250,0,0,0,0,5278340,0
2,211,8061090,2618330,0,0,0,0,5366060,0
2,212,7981750,2569750,0,0,0,0,5328880,0
2,213,8092230,2603950,0,0,0,0,5406040,0
2,214,9597570,3968460,0,0,0,0,5536740,0
2,215,8344900,2622040,0,0,0,0,5644270,0
2,216,8015780,2605390,0,0,0,0,5335530,0
2,217,8594050,2604760,0,0,0,0,5906600,0
2,218,7979300,2546790,0,0,0,0,5344320,0
2,219,8130470,2661560,0,0,0,0,5381160,0
2,220,5769150,2428280,0,0,0,0,3262750,0
2,221,5951880,2459180,0,0,0,0,3414020,0
2,222,8130020,2605940,0,0,0,0,5439390,0
2,223,6284220,2301610,0,0,0,0,3903960,0
2,224,6345380,2505910,0,0,0,0,3762840,0
2,225,8008400,2810690,0,0,0,0,5108960,0
2,226,7847990,2726890,0,0,0,0,5030780,0
2,227,8059800,2608620,0,0,0,0,5360240,0
2,228,8105750,2591540,0,0,0,0,5431330,0
2,229,7989720,2553420,0,0,0,0,5361620,0
2,230,7900120,2557840,0,0,0,0,5266280,0
2,231,7919820,2547010,0,0,0,0,5299710,0
2,232,8074960,2585910,0,0,0,0,5396200,0
2,233,7928650,2546900,0,0,0,0,5304940,0
2,234,5862330,2439130,0,0,0,0,3344450,0
2,235,8063120,2583180,0,0,0,0,5393100,0
2,236,6646700,2443210,0,0,0,0,4126050,0
2,237,8489050,2573620,0,0,0,0,5834910,0
2,238,8385980,2600280,0,0,0,0,5703840,0
2,239,8058960,2604840,0,0,0,0,5375550,0
2,240,8005110,2570380,0,0,0,0,5357140,0
2,241,7965000,2565370,0,0,0,0,5319510,0
2,242,8072060,2584170,0,0,0,0,5403610,0
2,243,8100830,2586460,0,0,0,0,5424860,0
2,244,5483050,2565740,0,0,0,0,2839070,0
2,245,8050910,2586270,0,0,0,0,5384980,0
2,246,7948490,2548270,0,0,0,0,5323160,0
2,247,7987980,2586600,0,0,0,0,5322790,0
2,248,8021500,2587860,0,0,0,0,5354780,0
2,249,6456100,2593630,0,0,0,0,3781980,0
2,250,7990270,2557150,0,0,0,0,5354600,0
2,251,8021010,2579590,0,0,0,0,5362830,0
2,252,5700660,2557300,0,0,0,0,3067610,0
2,253,5679480,2568630,0,0,0,0,3031120,0
2,254,8025250,2591970,0,0,0,0,5354630,0
2,255,7973180,2591780,0,0,0,0,5305040,0
2,256,8551110,2921390,0,0,0,0,5551000,0
2,257,8003950,2587800,0,0,0,0,5338180,0
2,258,8114070,2575260,0,0,0,0,5450840,0
2,259,8025280,2577470,0,0,0,0,5368810,0
2,260,7971550,2544550,0,0,0,0,5344600,0
2,261,5686800,2577370,0,0,0,0,3034370,0
2,262,8574570,2604370,0,0,0,0,5891260,0
2,263,8025460,2583310,0,0,0,0,5362870,0
2,264,8022060,2577300,0,0,0,0,5368360,0
2,265,9290190,3936800,0,0,0,0,5276050,0
2,266,6328160,2588410,0,0,0,0,3659330,0
2,267,8039550,2592880,0,0,0,0,5369030,0
2,268,8011290,2586420,0,0,0,0,5344150,0
2,269,8104600,2664490,0,0,0,0,5357560,0
2,270,8040400,2551420,0,0,0,0,5413730,0
2,271,8096670,2592060,0,0,0,0,5428900,0
2,272,8068880,2559300,0,0,0,0,5430830,0
2,273,8055850,2569440,0,0,0,0,5406900,0
2,274,6913290,2599380,0,0,0,0,4233970,0
2,275,8026830,2582860,0,0,0,0,5365350,0
2,276,7977350,2557720,0,0,0,0,5341670,0
2,277,7990250,2584970,0,0,0,0,5325720,0
2,278,8129260,2613180,0,0,0,0,5433410,0
2,279,8052050,2603310,0,0,0,0,5367230,0
2,280,7997000,2595440,0,0,0,0,5323900,0
2,281,7986250,2576340,0,0,0,0,5330560,0
2,282,7945470,2564850,0,0,0,0,5306000,0
2,283,7979330,2574490,0,0,0,0,5322110,0
2,284,8082570,2628150,0,0,0,0,5374460,0
2,285,8020860,2586660,0,0,0,0,5355650,0
2,286,5620000,2598040,0,0,0,0,2941450,0
