chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
10,0,11909220,5291760,0,0,0,0,8827070,0
10,1,20015080,13770690,0,0,0,0,6095120,0
10,2,20998400,14918470,0,0,0,0,5943520,0
10,3,21090680,14793380,0,0,0,0,6156350,0
10,4,20782290,14336130,0,0,0,0,6310800,0
10,5,20556600,14203910,0,0,0,0,6219570,0
10,6,23493130,15975540,0,0,0,0,7368040,0
10,7,21282100,14915210,0,0,0,0,6220300,0
10,8,13400350,9266630,0,0,0,0,4023980,0
10,9,20747240,14481880,0,0,0,0,6027090,0
10,10,21389870,14859280,0,0,0,0,6400840,0
10,11,21022890,14286320,0,0,0,0,6596990,0
10,12,19978690,13925030,0,0,0,0,5913290,0
10,13,16729040,11332510,0,0,0,0,5270910,0
10,14,19737730,13441450,0,0,0,0,6153980,0
10,15,20614320,14036790,0,0,0,0,6443860,0
10,16,13963240,9805350,0,0,0,0,4045530,0
10,17,24492590,17081230,0,0,0,0,7259230,0
10,18,16446310,11265000,0,0,0,0,5071250,0
10,19,22024770,15169250,0,0,0,0,6471110,0
10,20,20940730,14520090,0,0,0,0,6273590,0
10,21,20709700,14349250,0,0,0,0,6035190,0
10,22,20383810,14056540,0,0,0,0,6182910,0
10,23,29980910,20593040,0,0,0,0,9037660,0
10,24,20636200,14536330,0,0,0,0,5968900,0
10,25,20520420,14440330,0,0,0,0,5956400,0
10,26,20517580,13983810,0,0,0,0,6400140,0
10,27,19003300,13302740,0,0,0,0,5562540,0
10,28,20448080,14019810,0,0,0,0,6296580,0
10,29,19181410,13003600,0,0,0,0,6053110,0
10,30,19869770,13872350,0,0,0,0,5703340,0
10,31,11264160,8187150,0,0,0,0,2966560,0
10,32,19789180,13926760,0,0,0,0,5723900,0
10,33,14330740,9750770,0,0,0,0,4466640,0
10,34,13190440,9228090,0,0,0,0,3871610,0
10,35,20374940,15115370,0,0,0,0,5089330,0
10,36,12662640,9025230,0,0,0,0,3413420,0
10,37,19593410,13795420,0,0,0,0,5654530,0
10,38,22718820,15794130,0,0,0,0,6783300,0
10,39,20881970,14335600,0,0,0,0,6404730,0
10,40,23465040,16161540,0,0,0,0,7143590,0
10,41,20090840,13867400,0,0,0,0,6092040,0
10,42,17413080,11697580,0,0,0,0,5597290,0
10,43,20423220,13891670,0,0,0,0,6394860,0
10,44,12313660,9042290,0,0,0,0,3119230,0
