
RTEMS Shell on /dev/console. Use 'help' to list commands.
SHLL [/] # nexus0: <RTEMS Nexus device>
info: lo0: link state changed to UP
=== Exp3inter-ST: Task Chain (n=10) SingleThreadedExecutor ===
Period: 200ms, Rounds: 500
[E3IST-CSV] chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
666666
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
[E3IST-CSV] 10,0,35003640,4244550,0,0,626440,0,30437390,23876137761
[E3IST-CSV] 10,1,20389940,3395600,0,0,626690,0,16957830,24820221211
[E3IST-CSV] 10,2,18891230,4392170,0,0,563240,0,14422390,26627871891
[E3IST-CSV] 10,3,26806800,5741580,0,0,664660,0,20978450,28475725671
[E3IST-CSV] 10,4,21022710,4039780,0,0,624430,0,16923120,30288675651
[E3IST-CSV] 10,5,25891130,6399600,0,0,612790,0,19367700,32123837281
[E3IST-CSV] 10,6,24959390,6386930,0,0,706640,0,18448820,33911274211
[E3IST-CSV] 10,7,27107080,6783900,0,0,642300,0,20196180,35727334281
[E3IST-CSV] 10,8,32720830,7486080,0,0,809780,0,25102500,37564194621
[E3IST-CSV] 10,9,30187570,5112470,0,0,692130,0,25020900,39355769641
[E3IST-CSV] 10,10,25946200,6429260,0,0,703160,0,19382580,41121027111
[E3IST-CSV] 10,11,29765410,8084800,0,0,876180,0,21549260,42935057261
[E3IST-CSV] 10,12,27469170,7441220,0,0,937180,0,19901140,44732300481
[E3IST-CSV] 10,13,27701380,6668700,0,0,622960,0,20905340,46523255761
[E3IST-CSV] 10,14,26704500,6496080,0,0,620210,0,20092010,48324947801
[E3IST-CSV] 10,15,19277510,4795700,0,0,828070,0,14423910,50049752421
[E3IST-CSV] 10,16,26239060,6400080,0,0,610010,0,19722820,51920684901
[E3IST-CSV] 10,17,30677790,7392950,0,0,683680,0,22991200,53746095231
[E3IST-CSV] 10,18,22977140,5280870,0,0,607250,0,17626060,55443248011
[E3IST-CSV] 10,19,21707100,5365870,0,0,627870,0,16229220,57306281341
[E3IST-CSV] 10,20,26338030,6465600,0,0,656060,0,19628250,59126744331
[E3IST-CSV] 10,21,16285520,3568020,0,0,567620,0,12673810,60831984341
[E3IST-CSV] 10,22,27055930,6670330,0,0,626290,0,20264790,62727551301
[E3IST-CSV] 10,23,28086900,6646360,0,0,642650,0,21322430,64519308201
[E3IST-CSV] 10,24,25850730,6477030,0,0,598830,0,19244740,66318766191
[E3IST-CSV] 10,25,26633430,6371680,0,0,658990,0,19967120,68126998651
[E3IST-CSV] 10,26,26744810,6544770,0,0,608040,0,20079220,69926176071
[E3IST-CSV] 10,27,26634510,6342630,0,0,742660,0,20168680,71724199321
[E3IST-CSV] 10,28,21189290,4446290,0,0,600340,0,16681670,73415807481
[E3IST-CSV] 10,29,26944190,6662910,0,0,659440,0,20157160,75327665751
[E3IST-CSV] 10,30,26356420,6347520,0,0,629710,0,19700340,77123813301
[E3IST-CSV] 10,31,27109610,6746280,0,0,622930,0,20238250,78926653641
[E3IST-CSV] 10,32,26564770,6362600,0,0,621690,0,20079080,80724432751
[E3IST-CSV] 10,33,18447960,4428070,0,0,525570,0,13949080,82405384381
[E3IST-CSV] 10,34,28321580,4438340,0,0,608800,0,23830950,84324036571
[E3IST-CSV] 10,35,26457640,6323570,0,0,623970,0,19849950,86124499751
[E3IST-CSV] 10,36,26540080,6423270,0,0,786270,0,19999030,87923835971
[E3IST-CSV] 10,37,26714400,6622140,0,0,620550,0,19971300,89725413151
[E3IST-CSV] 10,38,24340630,4806050,0,0,681150,0,19464760,91445695841
[E3IST-CSV] 10,39,22765180,5878810,0,0,668860,0,16606100,93293024911
[E3IST-CSV] 10,40,26711610,6589870,0,0,652010,0,19991010,95126682331
[E3IST-CSV] 10,41,28470440,6565580,0,0,770000,0,21788870,96933042041
[E3IST-CSV] 10,42,25832410,6478000,0,0,668410,0,19227460,98718483681
[E3IST-CSV] 10,43,25786720,5386620,0,0,650390,0,20322500,100464892341
[E3IST-CSV] 10,44,26487490,6454380,0,0,619130,0,19906010,102324343641
[E3IST-CSV] 10,45,16153860,3544220,0,0,665490,0,12560720,104027546381
[E3IST-CSV] 10,46,15766540,3419330,0,0,530020,0,12303560,105815902701
[E3IST-CSV] 10,47,26076290,6569550,0,0,706590,0,19377460,107720211361
[E3IST-CSV] 10,48,36545110,7747210,0,0,913810,0,28664850,109582415771
[E3IST-CSV] 10,49,25107330,6436070,0,0,597860,0,18551040,111318732911
[E3IST-CSV] 10,50,26099670,6332220,0,0,715600,0,19646020,113123790271
[E3IST-CSV] 10,51,19049070,5525370,0,0,527930,0,13401420,114871991531
[E3IST-CSV] 10,52,26745720,6102670,0,0,960020,0,20346160,116728791951
[E3IST-CSV] 10,53,25215260,5380460,0,0,805100,0,19766920,118445383521
[E3IST-CSV] 10,54,22352490,6018630,0,0,645820,0,16209650,120292567051
[E3IST-CSV] 10,55,26460560,6395900,0,0,714010,0,19935160,122122919781
[E3IST-CSV] 10,56,26682120,6594020,0,0,612730,0,19950220,123925022091
[E3IST-CSV] 10,57,25918180,6670100,0,0,607060,0,19121250,125724221261
[E3IST-CSV] 10,58,18483560,4476460,0,0,634580,0,13915250,127435686671
[E3IST-CSV] 10,59,24314960,6329900,0,0,587250,0,17856890,129317990671
[E3IST-CSV] 10,60,26836350,6606430,0,0,717780,0,20103350,131125064081
[E3IST-CSV] 10,61,26572480,6613180,0,0,615720,0,19826070,132924189551
[E3IST-CSV] 10,62,26602370,6467160,0,0,656930,0,20012020,134723659571
[E3IST-CSV] 10,63,18155100,4374670,0,0,609320,0,13624920,136414925561
[E3IST-CSV] 10,64,27650230,6723780,0,0,913610,0,20859520,138294265091
[E3IST-CSV] 10,65,26185080,7532960,0,0,683630,0,18503390,140127088431
[E3IST-CSV] 10,66,25761970,6451530,0,0,680760,0,19184420,141917101941
[E3IST-CSV] 10,67,22857870,5535540,0,0,633940,0,17205850,143695907181
[E3IST-CSV] 10,68,21730090,5209680,0,0,633640,0,16437620,145447217831
[E3IST-CSV] 10,69,25821450,6637790,0,0,593190,0,19057550,147318495171
[E3IST-CSV] 10,70,26270980,6208640,0,0,663510,0,19765400,149122166491
[E3IST-CSV] 10,71,26723230,6759240,0,0,611040,0,19839830,150924590261
[E3IST-CSV] 10,72,25427560,6569870,0,0,640020,0,18732110,152714551581
[E3IST-CSV] 10,73,18652590,4478370,0,0,589590,0,14096580,154421324561
[E3IST-CSV] 10,74,25858100,6505550,0,0,597210,0,19227170,156318258161
[E3IST-CSV] 10,75,37367260,8225980,0,0,807960,0,29001690,158212318361
[E3IST-CSV] 10,76,26369900,6423650,0,0,610950,0,19829450,159920462691
[E3IST-CSV] 10,77,26743300,6461550,0,0,724230,0,20168660,161724170211
[E3IST-CSV] 10,78,20062390,4955560,0,0,602940,0,15006570,163457993161
[E3IST-CSV] 10,79,36348500,7691320,0,0,718970,0,28524070,165406618911
[E3IST-CSV] 10,80,27159940,6376650,0,0,736510,0,20664510,167134181561
[E3IST-CSV] 10,81,26501420,6298900,0,0,773570,0,20083990,168921716881
[E3IST-CSV] 10,82,26699130,6642340,0,0,617110,0,19931350,170724656691
[E3IST-CSV] 10,83,22248410,5581520,0,0,711210,0,16540190,172484287691
[E3IST-CSV] 10,84,26633540,6549240,0,0,702550,0,19954260,174329260941
[E3IST-CSV] 10,85,26730970,6556940,0,0,621290,0,20044070,176124772361
[E3IST-CSV] 10,86,26821220,6530260,0,0,732560,0,20170410,177924231491
[E3IST-CSV] 10,87,26605430,6301360,0,0,752980,0,20186790,179722412861
[E3IST-CSV] 10,88,17120830,3814740,0,0,672980,0,13254940,181377005341
[E3IST-CSV] 10,89,27121600,6488790,0,0,635940,0,20502500,183328258571
[E3IST-CSV] 10,90,26687140,6559380,0,0,614800,0,20006850,185124171601
[E3IST-CSV] 10,91,26855770,6561580,0,0,624500,0,20174410,186924583051
[E3IST-CSV] 10,92,15819350,3676620,0,0,521220,0,12065090,188628994401
[E3IST-CSV] 10,93,31954930,6490090,0,0,894090,0,25397620,190473033531
[E3IST-CSV] 10,94,27019650,6514470,0,0,666510,0,20380460,192327361831
[E3IST-CSV] 10,95,26325020,6469620,0,0,608380,0,19735310,194124560451
[E3IST-CSV] 10,96,38918100,8511540,0,0,978560,0,30270620,196022966591
[E3IST-CSV] 10,97,25785060,6389780,0,0,604350,0,19275430,197725688501
[E3IST-CSV] 10,98,20451630,5017610,0,0,564050,0,15339540,199463959371
[E3IST-CSV] 10,99,28072640,6540850,0,0,643030,0,21216950,201337387421
[E3IST-CSV] 10,100,26418690,6419300,0,0,622350,0,19714590,203123558151
[E3IST-CSV] 10,101,26741490,6388280,0,0,620670,0,20241230,204923056711
[E3IST-CSV] 10,102,27048380,6361990,0,0,623010,0,20569950,206727501061
[E3IST-CSV] 10,103,17154960,4066100,0,0,593310,0,13000310,208433653261
[E3IST-CSV] 10,104,26160700,6874660,0,0,600200,0,19145530,210324241111
[E3IST-CSV] 10,105,28601050,7128530,0,0,648730,0,21335660,212141309571
[E3IST-CSV] 10,106,20261150,4804150,0,0,566480,0,15375520,213833820491
[E3IST-CSV] 10,107,26083980,6444460,0,0,610470,0,19511230,215722476131
[E3IST-CSV] 10,108,20668560,5095810,0,0,565680,0,15441490,217462993791
[E3IST-CSV] 10,109,26301000,6517010,0,0,701470,0,19654360,219321066761
[E3IST-CSV] 10,110,26885320,6414160,0,0,612910,0,20181040,221125815301
[E3IST-CSV] 10,111,27331670,6285240,0,0,782230,0,20913800,222931565511
[E3IST-CSV] 10,112,33708310,7715880,0,0,863290,0,25854400,224787502871
[E3IST-CSV] 10,113,22391010,5626840,0,0,704580,0,16643210,226485169601
[E3IST-CSV] 10,114,26937950,6714010,0,0,657740,0,20050300,228325684631
[E3IST-CSV] 10,115,32664180,7282380,0,0,727830,0,25241940,230177786151
[E3IST-CSV] 10,116,26175570,6418540,0,0,745730,0,19623450,231919892911
[E3IST-CSV] 10,117,26332470,6561360,0,0,684780,0,19638110,233720289581
[E3IST-CSV] 10,118,22950290,5886050,0,0,672150,0,16941280,235491458461
[E3IST-CSV] 10,119,27242450,6687180,0,0,630790,0,20429720,237326813691
[E3IST-CSV] 10,120,26428640,6290010,0,0,671370,0,20010220,239121999541
[E3IST-CSV] 10,121,33856490,7715440,0,0,779010,0,25828480,240960152721
[E3IST-CSV] 10,122,26355880,6467050,0,0,662090,0,19562430,242722769111
[E3IST-CSV] 10,123,19655510,4744720,0,0,623540,0,14821820,244449194251
[E3IST-CSV] 10,124,34759210,8522490,0,0,933450,0,26092120,246368606311
